# room=440065813_vcom host=192.168.1.195 port=4901
[08:35:06.636][RX] 72782030  |  rx 0
[08:35:28.775][RX] 7565733a206269746d61736b206f6620656e61626c6564206f70  |  ues: bitmask of enabled op
[08:35:28.776][RX] 74696f6e730d0a73657446697865644c656e677468202020202020436f6e6669  |  tions\r\nsetFixedLength      Confi
[08:35:28.780][RX] 67757265206669786564206c656e677468207061636b657420  |  gure fixed length packet 
[08:35:28.783][RX] 6f7065726174696f6e2e0d0a2020202020202020202020202020202020202020  |  operation.\r\n                    
[08:35:28.784][RX] 5b75696e7431365d2066697865644c656e6774683a207061796c  |  [uint16] fixedLength: payl
[08:35:28.787][RX] 6f61642062797465730d0a736574506f77657220202020202020202020202053  |  oad bytes\r\nsetPower            S
[08:35:28.790][RX] 657420746865207472616e736d697420706f7765722e20546865  |  et the transmit power. The
[08:35:28.791][RX] 20726164696f206d7573742062652049444c452e0d0a20202020202020202020  |   radio must be IDLE.\r\n          
[08:35:28.795][RX] 202020202020202020205b696e7433325d20706f7765723a20  |            [int32] power: 
[08:35:28.796][RX] 646563692d64426d20756e6c6573732027726177272069732061646465640d0a  |  deci-dBm unless 'raw' is added\r\n
[08:35:28.799][RX] 20202020202020202020202020202020202020205b737472696e  |                      [strin
[08:35:28.802][RX] 676f70745d2027726177273d756e697473206172652072617720706f77657220  |  gopt] 'raw'=units are raw power 
[08:35:28.804][RX] 6c6576656c0d0a676574506f77657220202020202020202020  |  level\r\ngetPower          
[08:35:28.807][RX] 202047657420746865207472616e736d697420706f77657220696e2064656369  |    Get the transmit power in deci
[08:35:28.810][RX] 2d64426d2e0d0a736574506f776572436f6e6669672020202020  |  -dBm.\r\nsetPowerConfig     
[08:35:28.811][RX] 20536574207472616e736d697420504120636f6e66696775726174696f6e2e20  |   Set transmit PA configuration. 
[08:35:28.815][RX] 4d7573742075736520736574706f7765722061667465727761  |  Must use setpower afterwa
[08:35:28.816][RX] 7264732e0d0a20202020202020202020202020202020202020205b737472696e  |  rds.\r\n                    [strin
[08:35:28.820][RX] 675d2070614d6f64650d0a202020202020202020202020202020  |  g] paMode\r\n               
[08:35:28.821][RX] 20202020205b75696e7431365d206d696c6c69766f6c74730d0a202020202020  |       [uint16] millivolts\r\n      
[08:35:28.825][RX] 20202020202020202020202020205b75696e7431365d207261  |                [uint16] ra
[08:35:28.826][RX] 6d7054696d6555730d0a676574506f776572436f6e6669672020202020204765  |  mpTimeUs\r\ngetPowerConfig      Ge
[08:35:28.830][RX] 7420746865207472616e736d697420504120636f6e6669677572  |  t the transmit PA configur
[08:35:28.831][RX] 6174696f6e2e0d0a676574506f7765724c696d69747320202020202047657420  |  ation.\r\ngetPowerLimits      Get 
[08:35:28.835][RX] 6d696e20616e64206d617820706f7765724c6576656c20666f72  |  min and max powerLevel for
[08:35:28.836][RX] 206120706f776572206d6f64652e0d0a20202020202020202020202020202020  |   a power mode.\r\n                
[08:35:28.840][RX] 202020205b75696e74386f70745d20706f7765724d6f64650d  |      [uint8opt] powerMode\r
[08:35:28.841][RX] 0a656e61626c6550614175746f4d6f646520202020436f6e74726f6c20617574  |  \nenablePaAutoMode    Control aut
[08:35:28.845][RX] 6f6d617469632050412073656c656374696f6e20626173656420  |  omatic PA selection based 
[08:35:28.846][RX] 6f6e2074686520545820706f776572206c6576656c2e0d0a2020202020202020  |  on the TX power level.\r\n        
[08:35:28.849][RX] 2020202020202020202020205b75696e74385d20303d446973  |              [uint8] 0=Dis
[08:35:28.852][RX] 61626c6520313d456e61626c650d0a636f6e66696750614175746f4d6f646520  |  able 1=Enable\r\nconfigPaAutoMode 
[08:35:28.855][RX] 202020436f6e66696775726520656e747269657320696e207468  |     Configure entries in th
[08:35:28.856][RX] 652064656661756c74205041204175746f204d6f646520706c7567696e2e0d0a  |  e default PA Auto Mode plugin.\r\n
[08:35:28.860][RX] 20202020202020202020202020202020202020205b75696e74  |                      [uint
[08:35:28.861][RX] 385d20737461727420496e6465780d0a20202020202020202020202020202020  |  8] start Index\r\n                
[08:35:28.865][RX] 202020205b696e7433326f70745d206d696e206d6178206d6f64  |      [int32opt] min max mod
[08:35:28.866][RX] 652062616e643a205041206175746f20636f6e66696720656e74726965730d0a  |  e band: PA auto config entries\r\n
[08:35:28.870][RX] 73776565705478506f7765722020202020202020537765657020  |  sweepTxPower        Sweep 
[08:35:28.871][RX] 545820706f77657220666f72207468652063757272656e742050412062792074  |  TX power for the current PA by t
[08:35:28.875][RX] 6f6e696e672061742065616368206c6576656c2e0d0a6f6666  |  oning at each level.\r\noff
[08:35:28.876][RX] 7365744c7169202020202020202020202041646a757374207468652068617264  |  setLqi           Adjust the hard
[08:35:28.880][RX] 776172652773204c51492076616c756520666f72207265636569  |  ware's LQI value for recei
[08:35:28.881][RX] 766564207061636b6574732e0d0a202020202020202020202020202020202020  |  ved packets.\r\n                  
[08:35:28.885][RX] 20205b696e7433325d206f66667365743a207369676e656420  |    [int32] offset: signed 
[08:35:28.887][RX] 76616c756520746f206164640d0a202020202020202020202020202020202020  |  value to add\r\n                  
[08:35:28.890][RX] 202054686520726573756c74696e67204c514920697320636170  |    The resulting LQI is cap
[08:35:28.891][RX] 7065642077697468696e20302e2e3235352072616e67652e0d0a676574527373  |  ped within 0..255 range.\r\ngetRss
[08:35:28.894][RX] 6920202020202020202020202020476574205253534920696e  |  i             Get RSSI in
[08:35:28.897][RX] 2064426d2e204974276c6c20626520696e76616c696420696620726563656976  |   dBm. It'll be invalid if receiv
[08:35:28.900][RX] 65722069736e27742072656164792e0d0a202020202020202020  |  er isn't ready.\r\n         
[08:35:28.901][RX] 20202020202020202020205b75696e7433326f70745d205b303d646f6e277420  |             [uint32opt] [0=don't 
[08:35:28.905][RX] 776169745d20313d7761697420666f722076616c696420525353  |  wait] 1=wait for valid RSS
[08:35:28.906][RX] 4920696620706f737369626c650d0a7377656570506f77657220202020202020  |  I if possible\r\nsweepPower       
[08:35:28.910][RX] 202020537765657020706f77657220627920746f6e696e6720  |     Sweep power by toning 
[08:35:28.911][RX] 6c6f772f6869676820696e20612073717561726520776176652066617368696f  |  low/high in a square wave fashio
[08:35:28.915][RX] 6e2e0d0a20202020202020202020202020202020202020205b69  |  n.\r\n                    [i
[08:35:28.917][RX] 6e7433325d206c6f77506f7765723a20646563692d64426d0d0a202020202020  |  nt32] lowPower: deci-dBm\r\n      
[08:35:28.920][RX] 20202020202020202020202020205b696e7433325d20686950  |                [int32] hiP
[08:35:28.921][RX] 6f7765723a20646563692d64426d0d0a20202020202020202020202020202020  |  ower: deci-dBm\r\n                
[08:35:28.925][RX] 202020205b75696e7433325d20706572696f6455730d0a737461  |      [uint32] periodUs\r\nsta
[08:35:28.926][RX] 7274417667527373692020202020202020537461727420414743205253534920  |  rtAvgRssi        Start AGC RSSI 
[08:35:28.930][RX] 617665726167696e672e0d0a20202020202020202020202020  |  averaging.\r\n             
[08:35:28.931][RX] 202020202020205b75696e7433325d206176657261676554696d6555730d0a20  |         [uint32] averageTimeUs\r\n 
[08:35:28.935][RX] 202020202020202020202020202020202020205b75696e743136  |                     [uint16
[08:35:28.936][RX] 6f70745d206368616e6e656c3a20696620646966666572656e74207468616e20  |  opt] channel: if different than 
